Name,Points,Score difference
Martin Mojžíš,18,187.0
Martin Čeliňák,17,236.0
Jakub Hertl,15.5,107.0
Pavel Raus,14.5,122.0
Michal Konfršt,14,118.0
Jana Šimůnková,14,40.0
Tomáš Augustin Kukal,13.5,59.0
Robert Scholz,13,97.0
Petra Vidnerová,13,57.0
Petr Šimůnek,13,45.0
Martin Boreš,13,43.0
Jakub Vaňátko,12,69.0
Michal Böhm,12,63.0
Radovan Gábriš,12,35.0
Štěpán Tihon,12,-29.0
Jitka Jarošová,12,-32.0
Daniel Turek,12,-79.0
Barbora Drsová,11,0.0
Josef Štrojsa,11,-3.0
Vlastimil Havel,11,-23.0
Radim Šimůnek,10.5,-33.0
David Milota,10,-47.0
Iryna Frolova,10,-69.0
Radek Juřica,8,-152.0
Lenka Pechová,5.5,-48.0
Otmar Onderek,5,-69.0
Tomáš Novotný,5,-79.0
Martin Sotona,4.5,-63.0
Pavel Kukal,4.5,-87.0
Kateřina Jirsová,4.5,-104.0
Hana Řehořová,4,-85.0
Mikuláš Roberts,4,-114.0
Anna-Marie Mašková,3,-162.0
